schid,female,score,advice,medu,fedu,focc
30,0,126,6,6,6,3
30,1,114,2,9,9,6
30,1,129,6,2,2,2
30,1,120,5,7,8,6
30,0,101,2,5,5,4
30,1,118,5,5,7,6
30,0,100,2,1,5,3
30,0,125,6,3,7,4
30,1,102,4,1,2,5
30,0,135,6,5,7,3
30,1,135,6,9,9,6
30,0,138,6,7,7,5
30,0,102,2,2,3,3
30,1,112,4,1,5,3
30,1,125,6,9,9,6
30,0,122,5,5,8,5
30,1,106,4,3,6,5
30,0,106,4,6,7,4
31,1,113,5,2,2,5
31,0,112,4,1,5,4
31,1,96,2,5,3,3
31,0,95,2,4,6,5
31,1,92,2,1,4,2
31,1,101,2,1,1,3
31,0,112,4,1,5,5
31,1,90,2,3,6,3
31,1,117,5,5,4,5
31,1,84,2,1,5,5
31,1,119,5,7,6,2
31,1,99,2,1,6,5
31,0,106,2,1,5,3
31,0,111,4,1,2,5
31,0,97,2,3,3,2
31,1,96,2,3,1,2
31,1,96,2,1,1,2
31,0,104,4,1,6,5
31,0,108,2,1,7,3
31,0,116,5,5,5,3
31,0,92,2,1,1,1
31,0,99,2,1,1,3
32,0,129,6,7,9,6
32,1,126,6,9,9,6
32,0,110,4,7,7,3
32,1,117,5,6,7,6
32,1,125,4,7,8,6
32,0,123,5,7,7,6
32,1,108,4,5,1,5
32,0,130,6,5,5,3
32,1,109,4,7,9,6
32,1,103,2,5,6,5
32,0,113,4,7,9,6
32,0,120,5,5,7,6
32,0,95,2,7,9,6
32,0,133,6,5,8,5
32,1,123,5,2,7,5
32,0,103,4,5,5,5
32,0,129,6,4,7,6
32,1,114,4,6,8,5
32,1,104,4,3,8,5
32,0,114,4,2,2,3
32,1,122,5,5,5,6
32,0,98,2,7,9,6
32,1,121,6,5,8,3
32,0,100,2,3,5,5
32,0,94,2,5,5,4
32,0,114,4,2,6,4
32,0,117,5,5,8,5
32,1,96,2,6,4,2
32,0,112,4,9,9,6
32,0,113,4,7,8,6
32,1,125,6,7,8,6
32,0,100,0,7,9,6
32,1,106,4,9,9,6
32,0,108,4,7,9,6
32,1,126,6,6,7,5
33,1,119,5,5,7,5
33,1,104,4,7,9,6
33,1,101,2,5,7,4
33,0,93,2,3,8,5
33,0,121,5,5,8,4
33,1,127,6,8,9,6
33,1,102,4,9,9,6
33,1,117,5,5,7,5
33,1,91,2,3,5,3
33,0,128,6,9,9,6
33,1,114,5,6,6,3
33,1,104,4,6,9,6
33,1,105,4,7,7,3
33,1,107,4,3,3,2
33,1,101,4,4,4,5
33,0,101,2,7,8,6
33,1,106,4,6,7,6
33,0,108,6,9,9,6
33,0,103,4,8,9,6
33,0,106,4,8,9,6
33,0,101,2,3,9,6
33,1,101,2,7,6,3
33,0,107,4,7,8,3
33,1,110,5,5,8,6
33,0,104,2,7,9,6
33,1,109,5,7,9,6
33,0,81,1,3,5,2
33,0,105,4,5,5,3
33,0,108,4,8,9,6
33,1,98,2,1,6,6
33,0,120,5,6,9,6
33,1,103,4,6,7,6
33,1,108,5,7,9,6
33,1,110,4,5,8,6
34,1,108,4,7,7,6
34,0,114,4,1,1,2
34,0,122,5,6,6,3
34,1,101,2,3,4,4
34,0,110,5,2,1,2
34,0,96,2,1,5,2
34,1,112,4,1,5,5
34,1,84,2,1,1,4
34,0,83,2,1,1,4
34,1,94,2,3,3,3
34,1,112,4,3,4,2
34,1,112,2,1,5,3
34,0,129,6,9,9,6
34,1,111,4,2,7,5
34,0,102,2,5,7,5
34,0,95,2,5,6,4
34,1,114,5,7,7,4
34,1,130,6,6,3,2
34,0,100,2,3,6,5
34,0,100,2,6,6,5
34,0,120,5,1,7,3
34,0,96,2,1,3,3
34,0,107,4,1,5,3
34,1,93,2,5,3,5
34,1,110,4,1,6,2
34,1,104,2,1,2,2
35,0,113,4,1,5,3
35,1,91,2,1,1,3
35,0,91,2,1,3,2
35,0,129,6,1,4,3
35,1,119,5,5,7,5
35,1,104,4,1,6,3
35,1,98,2,1,7,3
35,0,105,4,1,5,3
35,0,117,5,5,6,5
35,1,81,2,,,2
35,0,110,4,1,7,5
35,1,93,2,4,3,2
35,1,97,2,3,3,3
35,0,101,4,5,3,3
35,1,89,2,1,7,6
35,1,119,5,7,6,3
35,1,80,2,1,2,3
35,0,82,2,1,1,4
35,0,80,2,2,4,5
35,1,123,5,7,8,5
35,0,105,4,3,4,3
35,1,133,6,3,6,3
35,1,98,4,5,5,3
35,1,116,5,1,4,6
35,1,89,2,2,2,2
35,1,86,2,,,1
35,0,76,2,1,3,2
35,1,96,2,1,3,2
35,0,92,2,4,4,4
35,0,123,5,1,1,3
35,1,89,2,1,1,3
35,0,104,4,1,1,3
35,1,105,4,,,3
35,1,114,5,5,3,2
36,1,120,5,5,9,6
36,0,101,2,1,1,1
36,1,93,2,,,
36,1,135,6,5,,
36,1,98,2,3,5,3
36,1,103,2,1,1,6
36,0,104,4,3,5,5
36,0,102,2,,,2
36,1,95,2,1,1,2
36,0,111,4,6,6,3
36,1,83,2,1,1,
36,1,96,2,1,1,2
36,1,87,1,6,7,6
37,1,96,2,1,1,2
37,0,104,2,1,4,2
37,1,103,2,5,,
37,1,112,4,3,5,6
37,1,112,2,3,2,3
37,0,88,2,3,1,2
37,0,125,6,5,8,5
37,0,104,2,5,3,2
37,0,127,6,,,5
37,0,102,2,3,1,2
37,0,78,2,3,4,2
37,1,123,5,5,6,3
37,0,102,2,1,1,5
37,1,79,2,3,3,3
37,0,107,2,1,4,3
37,0,114,4,1,1,2
37,0,112,2,7,7,3
37,1,108,4,5,6,3
37,1,103,2,1,1,4
37,1,91,2,7,5,3
37,0,93,2,1,,
37,0,125,6,4,6,5
37,0,87,2,1,4,3
37,1,113,4,5,6,4
37,0,101,2,1,1,2
37,1,108,4,1,1,2
37,0,111,4,6,6,3
37,1,105,2,1,6,
37,0,101,2,3,5,5
37,1,96,2,2,7,5
37,0,128,6,1,8,5
37,0,101,2,1,1,2
37,0,106,4,1,4,4
37,0,122,5,1,2,5
37,1,103,2,1,1,4
37,1,86,2,1,3,3
37,1,96,2,5,5,3
37,0,98,2,1,1,2
37,0,106,2,5,6,5
37,0,106,2,5,7,5
37,0,83,2,1,3,2
37,1,106,4,2,3,3
37,0,128,6,1,6,3
37,0,100,2,1,2,3
37,1,101,2,3,6,3
37,0,110,4,5,7,3
38,1,96,2,7,5,3
38,1,91,2,7,6,3
38,1,88,2,5,3,2
38,0,129,6,6,4,5
38,0,98,4,5,7,5
38,0,108,2,6,4,3
38,1,98,2,5,6,5
38,1,98,2,1,1,5
38,1,109,4,1,2,2
38,1,117,,7,8,6
38,0,104,2,1,1,2
38,1,122,6,3,8,6
38,1,101,2,1,3,2
38,1,108,4,7,7,3
38,0,106,4,2,1,5
38,1,93,2,4,5,3
38,1,93,2,1,4,3
38,0,113,5,3,7,6
38,1,109,5,1,6,6
38,0,117,5,,,3
38,0,78,1,1,2,3
38,1,97,2,1,3,4
38,0,110,5,3,6,3
38,1,96,2,3,5,3
38,0,100,2,3,5,6
38,0,86,2,3,3,
38,0,106,4,8,8,6
38,1,91,2,5,5,3
38,1,96,2,5,4,3
38,0,84,2,3,6,3
38,0,102,4,6,7,6
38,1,112,5,7,8,6
39,1,90,2,3,3,2
39,0,118,5,3,7,
39,0,98,2,5,8,
39,0,102,2,1,7,6
39,0,112,5,1,7,6
39,1,101,2,,,3
39,1,105,4,2,4,3
39,0,125,6,5,5,3
39,1,106,5,1,1,1
39,1,102,2,2,2,4
39,1,110,4,5,5,3
39,0,115,5,5,6,5
39,0,125,6,1,8,5
39,1,93,2,1,1,1
40,0,116,4,4,6,5
40,0,98,2,1,1,3
40,1,93,2,1,2,2
40,1,108,4,5,8,3
40,0,110,4,1,4,2
40,0,98,2,1,1,4
40,1,108,4,5,6,3
40,1,100,2,1,1,5
40,0,106,4,5,5,5
40,0,110,4,1,1,2
40,1,89,2,3,3,2
40,1,116,5,3,3,2
40,0,96,2,5,6,5
40,0,105,2,3,6,2
40,0,90,2,3,1,2
40,1,105,4,1,3,3
40,0,103,2,1,1,2
40,1,95,2,1,2,2
40,0,119,5,1,1,1
40,0,116,5,1,5,3
40,0,110,4,1,1,2
40,1,124,6,1,3,2
40,0,111,2,1,3,3
40,1,118,5,6,2,5
40,0,109,4,5,5,3
40,1,126,6,3,6,3
40,1,102,2,1,2,2
40,1,107,4,6,6,3
40,0,102,2,3,8,5
40,1,84,2,1,1,3
40,0,104,4,6,4,3
40,1,120,5,5,6,3
40,0,111,2,5,5,3
41,1,91,2,3,8,6
41,0,120,5,7,7,6
41,1,105,2,1,1,2
41,1,87,2,1,,
41,0,91,2,3,3,2
41,0,120,5,5,7,5
41,1,100,2,,,5
41,1,103,2,1,6,3
41,0,97,2,1,6,3
41,0,105,4,1,3,5
41,1,111,4,5,5,3
41,1,106,4,3,1,1
41,0,87,2,1,3,2
41,1,115,4,2,3,2
41,0,95,2,1,6,5
41,0,112,4,5,3,2
41,0,101,2,5,5,3
41,0,109,4,1,7,5
41,0,108,2,,,2
41,0,100,2,1,2,3
41,1,84,2,1,1,2
41,1,76,2,1,1,2
41,0,113,4,1,1,2
41,0,106,4,1,7,5
41,1,97,2,5,1,2
41,0,94,2,1,6,3
41,1,94,2,3,3,2
41,1,97,2,3,3,3
41,0,79,2,1,1,
41,1,90,2,,,
41,0,102,2,5,3,2
41,0,104,2,1,1,1
41,1,103,2,1,7,3
42,0,118,5,8,8,4
42,1,109,4,4,8,6
42,1,83,1,5,3,
42,0,104,2,3,3,2
42,1,80,1,1,3,
42,0,103,5,1,3,
42,0,100,1,1,1,2
42,0,108,5,5,7,6
42,0,92,2,5,3,3
42,1,113,5,5,4,3
42,0,108,4,4,2,4
42,0,101,4,4,3,2
42,1,106,4,5,3,2
42,1,77,1,1,1,2
42,1,96,2,1,3,2
42,1,60,1,1,1,1
42,0,75,2,3,3,3
42,0,70,1,1,1,1
42,0,116,5,5,5,3
42,1,69,1,1,5,2
42,0,95,2,1,3,2
42,1,104,4,3,5,5
42,0,109,5,5,3,3
42,1,114,5,5,2,3
42,0,109,5,6,8,5
42,1,82,2,1,1,
42,1,87,1,1,2,2
42,1,93,2,5,5,2
42,1,95,2,1,1,4
42,1,104,4,6,9,6
43,1,97,2,3,5,3
43,0,108,4,1,4,3
43,1,118,5,1,5,3
43,1,115,4,3,3,2
43,0,119,5,7,5,6
43,0,76,2,5,7,5
43,0,113,4,7,7,5
43,0,106,4,7,9,6
43,1,109,4,1,1,2
43,0,104,2,1,2,2
43,0,109,2,1,1,2
43,1,98,2,,,5
43,0,122,5,5,6,3
43,0,118,5,3,5,3
43,1,104,4,9,9,6
43,0,91,2,1,6,3
43,1,105,4,5,6,3
43,1,104,2,5,3,3
43,1,98,4,5,5,4
43,0,105,4,1,7,6
43,0,85,1,6,5,3
43,0,133,6,5,7,5
43,1,114,5,6,5,5
43,0,95,2,5,7,3
44,0,76,2,1,3,3
44,1,99,2,1,3,2
44,0,102,2,1,3,2
44,1,104,4,3,1,4
44,0,110,4,1,5,3
44,0,100,2,6,6,6
44,1,89,2,1,2,5
44,1,100,4,1,2,5
44,0,91,1,1,1,1
44,0,76,1,1,1,1
44,0,96,2,1,1,2
44,1,81,2,1,1,2
45,0,104,2,1,5,2
45,1,109,4,6,6,2
45,1,99,2,1,,
45,0,101,4,7,9,6
45,0,77,2,1,2,2
45,0,94,4,1,3,2
45,0,105,4,,2,2
45,1,97,4,5,7,5
45,1,87,2,3,5,3
45,1,106,2,1,2,2
45,1,94,2,1,1,3
45,1,103,2,6,7,3
45,1,81,2,,1,1
45,1,84,2,,1,1
46,0,110,5,5,1,4
46,0,101,2,7,7,6
46,1,94,2,4,3,6
46,1,100,2,4,1,2
46,0,83,2,1,1,
46,0,89,2,1,3,3
46,1,104,4,3,4,3
46,0,107,4,3,5,
46,1,96,2,1,1,1
46,1,104,4,4,7,6
47,1,126,6,1,2,4
47,0,97,2,5,6,3
47,1,104,5,1,1,2
47,1,88,2,1,2,2
47,0,53,,1,1,1
47,1,80,2,1,1,1
47,0,77,2,,,1
47,1,112,5,3,5,3
47,1,119,5,1,4,2
47,1,77,2,5,,5
47,1,85,2,,,2
47,0,111,4,1,2,2
47,1,102,2,4,6,3
47,0,73,2,1,4,2
47,0,113,5,4,4,3
47,1,103,2,1,1,4
47,1,96,2,3,2,3
47,0,89,2,1,,
47,1,102,2,2,3,4
47,1,109,5,6,7,4
47,1,98,2,3,1,2
47,0,85,2,3,2,2
47,1,101,2,1,4,1
47,0,82,2,1,1,1
47,0,138,6,3,5,4
47,1,108,4,1,1,2
47,1,101,2,1,1,2
47,1,98,2,1,1,1
47,0,112,4,,3,2
47,0,70,2,1,2,2
47,1,75,2,1,2,2
47,1,115,5,5,5,3
47,1,104,2,1,4,2
47,1,106,4,7,7,3
47,1,105,2,,,3
47,0,103,2,,,3
47,1,114,5,5,5,4
48,0,105,2,5,6,5
48,0,113,4,5,6,5
48,0,91,2,1,3,3
48,0,98,2,,,3
48,0,123,5,1,6,5
48,0,143,6,6,8,3
48,0,134,6,5,8,6
48,0,125,6,7,7,5
48,0,119,4,3,3,5
48,0,118,4,6,7,
48,0,116,4,1,5,3
48,0,98,2,1,,
48,1,119,5,1,7,3
48,1,114,4,1,7,3
48,1,117,5,3,3,2
48,1,126,5,5,4,3
48,1,103,2,1,5,3
48,1,92,2,3,3,3
48,1,101,2,3,3,3
48,1,111,4,1,5,5
48,1,93,2,5,2,3
48,1,117,5,5,6,5
48,1,119,5,1,5,2
48,1,94,2,7,9,6
48,1,108,4,6,4,4
48,1,114,5,6,3,3
48,1,103,2,1,5,3
48,1,111,2,3,1,3
48,1,103,4,1,1,1
49,1,99,2,1,2,1
49,1,115,4,5,,5
49,0,100,2,1,2,2
49,1,98,2,1,3,4
49,1,86,2,1,1,
49,1,101,2,1,1,1
49,0,109,4,3,6,5
49,1,95,2,1,1,3
49,1,106,2,,,1
49,0,116,5,5,2,3
49,0,115,5,1,2,6
49,0,106,4,1,1,1
49,1,102,2,5,2,
49,0,120,5,3,6,3
50,0,101,2,,,4
50,0,101,2,4,6,5
50,1,93,2,2,1,3
50,1,99,2,3,7,6
50,1,87,2,5,5,4
50,0,118,5,5,7,6
50,0,110,4,3,3,3
50,1,118,5,5,6,5
50,1,92,2,2,2,2
50,1,119,5,5,5,4
50,1,123,5,5,5,4
50,0,98,2,5,5,4
50,1,100,2,7,8,5
50,1,98,2,8,9,6
50,1,102,2,2,5,4
50,1,93,2,5,5,4
50,1,95,2,1,3,2
50,1,122,5,6,3,4
50,0,112,4,5,4,4
50,1,87,2,5,3,3
50,1,90,2,1,1,
50,1,94,2,5,5,4
50,1,91,2,3,3,4
50,0,95,2,1,1,6
50,1,92,2,7,7,5
50,0,111,5,5,5,6
50,1,86,2,5,5,4
50,1,86,2,1,3,2
50,1,90,2,3,3,4
50,0,112,5,3,7,4
50,1,93,2,2,2,4
50,0,94,2,1,4,5
50,1,116,5,5,7,3
50,0,116,5,,,3
50,0,103,2,7,6,4
50,0,79,2,5,6,4
50,1,93,2,1,2,4
50,0,98,2,5,4,5
50,0,104,4,7,,
50,1,118,5,1,2,2
50,0,101,2,3,3,2
50,0,93,,6,6,3
50,1,116,5,5,5,3
50,0,116,5,6,9,6
50,1,98,,7,7,
50,1,109,4,5,7,3
51,0,101,4,5,7,5
51,0,131,6,5,8,6
51,1,102,4,5,6,5
51,0,109,4,1,5,2
51,0,124,5,6,8,5
51,1,92,2,,,4
51,0,108,4,3,5,3
51,1,77,2,1,2,2
51,1,92,2,1,6,6
51,0,104,4,1,6,5
51,0,108,4,1,6,5
51,0,127,6,1,5,3
51,1,108,4,2,9,6
51,0,118,5,7,7,6
51,0,103,4,8,9,6
51,1,126,6,6,9,6
51,1,110,4,5,5,5
51,1,119,5,5,5,5
51,0,131,6,7,9,6
51,0,116,5,7,5,3
51,1,105,4,,9,6
51,1,97,2,3,7,3
52,0,118,5,5,3,2
52,0,106,4,1,5,3
52,1,113,4,2,3,2
52,1,104,4,1,1,4
52,1,77,2,1,1,1
52,0,100,2,1,1,2
52,1,102,4,,,3
52,0,95,2,3,5,3
52,0,112,4,1,4,2
52,0,91,2,5,7,3
52,1,109,4,6,3,2
52,0,83,2,3,3,2
52,0,119,5,3,3,3
52,1,94,2,7,7,3
52,1,89,2,1,2,4
52,1,88,2,2,2,4
52,0,81,2,1,1,3
52,1,125,5,5,5,5
52,1,90,2,,,3
52,1,118,5,,,5
52,0,94,2,1,1,2
52,1,102,2,2,5,3
52,1,100,4,3,6,3
52,1,114,4,1,1,3
52,1,128,6,,,3
52,0,98,2,3,5,2
52,1,89,2,3,5,2
53,0,86,2,1,1,1
53,0,95,2,2,1,1
53,0,87,2,,,2
53,1,89,2,3,3,2
53,0,96,2,1,1,2
53,0,101,2,1,2,2
53,0,79,2,3,3,2
53,1,101,2,3,3,2
53,0,99,2,1,1,2
53,0,105,4,3,4,3
53,1,94,2,1,5,3
53,1,96,4,3,3,
53,0,100,2,1,1,2
53,1,91,2,1,3,2
53,1,95,2,1,1,1
53,0,100,2,1,5,3
53,0,102,5,1,3,2
53,0,75,2,1,6,5
53,1,117,5,3,1,2
53,0,117,4,5,8,6
53,1,95,2,1,3,2
53,0,103,2,3,6,3
53,1,90,2,5,4,2
53,0,103,2,5,4,2
53,0,114,2,3,4,3
54,1,103,2,1,2,3
54,0,112,4,5,8,6
54,1,76,2,1,3,2
54,0,94,2,,,
54,0,103,2,7,7,3
54,1,89,2,1,3,3
54,1,92,2,1,1,2
54,1,60,2,3,5,5
54,1,100,2,5,6,3
54,1,74,2,3,,
54,1,97,2,1,1,
54,1,109,4,1,1,2
54,1,86,2,1,1,2
54,1,83,2,1,6,3
54,0,115,5,3,5,3
54,1,93,2,1,1,3
54,0,119,5,6,7,3
54,0,77,2,1,3,2
54,1,95,2,2,8,3
54,0,117,5,5,5,6
54,1,85,2,4,7,5
54,1,85,2,1,1,2
54,0,97,2,3,6,3
54,0,105,4,1,2,3
54,1,92,2,1,1,3
54,0,69,2,,,3
54,1,91,2,1,6,5
54,1,85,2,1,4,3
54,1,106,4,7,7,3
54,0,101,2,1,5,3
55,0,121,6,1,4,5
55,1,125,5,7,8,5
55,1,127,6,5,7,5
55,1,111,5,7,9,6
55,1,110,2,1,3,2
55,1,96,2,3,4,4
55,1,103,4,7,9,6
55,0,109,5,4,7,5
55,0,100,2,5,5,5
55,1,117,5,5,8,5
55,0,113,5,3,6,3
55,0,109,5,5,5,5
55,1,93,2,5,3,2
55,0,121,5,5,9,6
55,0,114,5,6,6,6
55,1,113,5,7,5,3
55,0,125,6,9,9,6
55,1,119,5,5,8,6
55,1,106,4,5,7,6
55,0,105,2,7,8,3
55,1,94,2,1,2,4
55,0,110,4,1,2,4
55,1,89,2,5,7,5
55,0,125,6,7,8,3
55,0,107,4,1,1,4
55,1,125,6,7,7,5
55,0,116,5,5,7,4
55,0,109,4,5,6,4
55,1,102,4,7,5,
55,1,133,6,1,8,6
56,0,99,4,5,5,3
56,1,106,4,6,7,5
56,1,101,2,3,5,3
56,0,123,5,5,5,4
56,0,114,5,1,7,3
56,1,98,2,,,2
56,1,103,4,5,7,3
56,0,119,5,4,4,3
56,1,94,2,5,6,5
56,0,98,2,1,5,3
56,0,109,4,1,1,1
56,0,93,2,4,7,5
56,0,132,6,7,9,3
56,1,93,2,1,5,3
56,1,88,2,1,3,2
56,1,88,2,1,5,3
56,0,118,5,5,7,3
56,0,102,4,1,7,5
56,0,108,5,7,7,3
56,0,98,4,5,5,4
56,0,96,2,5,7,6
56,0,95,2,1,2,1
56,0,85,2,5,5,3
56,0,116,5,5,4,3
56,0,121,5,3,7,3
56,0,104,4,1,7,3
57,1,93,2,1,2,
57,0,86,2,1,1,1
57,0,87,2,2,3,2
57,1,82,2,1,1,1
57,1,77,1,1,1,1
57,0,81,1,1,1,1
57,1,72,1,1,1,2
57,0,90,2,2,2,3
57,0,109,4,6,,
57,1,99,2,1,2,4
57,1,84,2,1,1,2
57,0,89,2,1,1,
57,1,111,4,1,1,
57,0,81,1,2,3,2
57,0,76,1,1,1,4
57,1,85,1,1,1,1
57,0,101,2,1,1,2
57,1,115,4,1,3,2
57,0,101,2,1,1,1
57,0,100,2,1,1,2
57,0,83,2,1,1,
57,1,102,2,1,1,1
58,0,111,4,1,2,3
58,0,113,4,5,5,4
58,1,62,1,5,5,3
58,0,116,5,5,7,5
58,1,111,4,,,2
58,0,125,6,6,7,3
58,0,133,6,6,7,5
58,0,94,2,5,2,3
58,0,95,2,1,1,3
58,1,91,2,5,7,5
58,0,73,2,5,7,5
58,0,129,6,6,8,3
58,0,106,4,5,,
58,0,88,1,6,7,3
58,1,86,2,1,3,2
58,1,114,4,3,3,2
58,0,76,2,3,3,2
58,0,126,6,6,7,
58,1,88,2,1,1,4
58,1,110,4,5,4,5
58,1,110,2,7,7,2
58,1,91,2,1,5,3
58,0,100,2,5,3,5
58,1,103,2,1,4,2
58,1,105,4,1,5,3
58,1,101,2,3,8,5
58,1,111,4,3,4,2
58,0,118,5,1,8,5
58,1,70,1,3,3,2
58,0,126,6,1,2,5
58,1,107,4,3,3,4
58,1,93,2,6,9,6
58,0,132,6,9,9,6
58,1,71,1,1,7,5
