stuid,time,gpa,female,hsgpa
1,0,2.3,1,2.8
1,1,2.1,1,2.8
1,2,3,1,2.8
1,3,3,1,2.8
1,4,3,1,2.8
1,5,3.3,1,2.8
2,0,2.2,0,2.5
2,1,2.5,0,2.5
2,2,2.6,0,2.5
2,3,2.6,0,2.5
2,4,3,0,2.5
2,5,2.8,0,2.5
3,0,2.4,1,2.5
3,1,2.9,1,2.5
3,2,3,1,2.5
3,3,2.8,1,2.5
3,4,3.3,1,2.5
3,5,3.4,1,2.5
4,0,2.5,0,3.8
4,1,2.7,0,3.8
4,2,2.4,0,3.8
4,3,2.7,0,3.8
4,4,2.9,0,3.8
4,5,2.7,0,3.8
5,0,2.8,0,3.1
5,1,2.8,0,3.1
5,2,2.8,0,3.1
5,3,3,0,3.1
5,4,2.9,0,3.1
5,5,3.1,0,3.1
6,0,2.5,1,2.9
6,1,2.4,1,2.9
6,2,2.4,1,2.9
6,3,2.3,1,2.9
6,4,2.7,1,2.9
6,5,2.8,1,2.9
7,0,2.4,0,2.3
7,1,2.4,0,2.3
7,2,2.8,0,2.3
7,3,2.6,0,2.3
7,4,3,0,2.3
7,5,3,0,2.3
8,0,2.8,1,3.9
8,1,2.8,1,3.9
8,2,3.1,1,3.9
8,3,3.3,1,3.9
8,4,3.3,1,3.9
8,5,3.4,1,3.9
9,0,2.8,0,2
9,1,2.7,0,2
9,2,2.7,0,2
9,3,3.1,0,2
9,4,3.1,0,2
9,5,3.5,0,2
10,0,2.8,0,2.8
10,1,2.8,0,2.8
10,2,3,0,2.8
10,3,2.7,0,2.8
10,4,3,0,2.8
10,5,3,0,2.8
11,0,2.6,1,3.9
11,1,2.9,1,3.9
11,2,3.2,1,3.9
11,3,3.6,1,3.9
11,4,3.6,1,3.9
11,5,3.8,1,3.9
12,0,2.6,1,2.9
12,1,3,1,2.9
12,2,2.3,1,2.9
12,3,2.9,1,2.9
12,4,3.1,1,2.9
12,5,3.3,1,2.9
13,0,2.8,0,3.7
13,1,3.1,0,3.7
13,2,3.5,0,3.7
13,3,3.6,0,3.7
13,4,3.9,0,3.7
13,5,3.9,0,3.7
14,0,2.4,1,3.5
14,1,3,1,3.5
14,2,2.9,1,3.5
14,3,3,1,3.5
14,4,3.3,1,3.5
14,5,3.4,1,3.5
15,0,2.2,0,3.6
15,1,2.7,0,3.6
15,2,2.6,0,3.6
15,3,2.6,0,3.6
15,4,2.8,0,3.6
15,5,2.8,0,3.6
16,0,2.5,1,2.9
16,1,2.7,1,2.9
16,2,2.8,1,2.9
16,3,2.7,1,2.9
16,4,2.8,1,2.9
16,5,2.8,1,2.9
17,0,2.6,0,2.4
17,1,2.2,0,2.4
17,2,2.6,0,2.4
17,3,2.5,0,2.4
17,4,2.6,0,2.4
17,5,2.8,0,2.4
18,0,2.4,0,2.5
18,1,2.9,0,2.5
18,2,2,0,2.5
18,3,2.6,0,2.5
18,4,2.5,0,2.5
18,5,2.7,0,2.5
19,0,2.5,1,2.3
19,1,2.3,1,2.3
19,2,3,1,2.3
19,3,2.9,1,2.3
19,4,2.9,1,2.3
19,5,2.9,1,2.3
20,0,2.8,0,3.4
20,1,2.9,0,3.4
20,2,3.2,0,3.4
20,3,3.2,0,3.4
20,4,3.4,0,3.4
20,5,3.3,0,3.4
21,0,2.6,1,2.8
21,1,2.4,1,2.8
21,2,2.5,1,2.8
21,3,2.5,1,2.8
21,4,2.5,1,2.8
21,5,2.6,1,2.8
22,0,2.8,0,3.6
22,1,2.7,0,3.6
22,2,3.1,0,3.6
22,3,3.1,0,3.6
22,4,3,0,3.6
22,5,3.3,0,3.6
23,0,2.8,0,2.4
23,1,3.2,0,2.4
23,2,2.8,0,2.4
23,3,3,0,2.4
23,4,2.9,0,2.4
23,5,3,0,2.4
24,0,2.7,1,3.9
24,1,2.9,1,3.9
24,2,3,1,3.9
24,3,2.7,1,3.9
24,4,2.9,1,3.9
24,5,3,1,3.9
25,0,3.5,1,3.7
25,1,3.1,1,3.7
25,2,3,1,3.7
25,3,3.3,1,3.7
25,4,3.4,1,3.7
25,5,3.6,1,3.7
26,0,2.3,0,3
26,1,2.8,0,3
26,2,2.1,0,3
26,3,2.8,0,3
26,4,2.8,0,3
26,5,2.5,0,3
27,0,2.2,0,3.3
27,1,2.4,0,3.3
27,2,2.5,0,3.3
27,3,2.2,0,3.3
27,4,2.8,0,3.3
27,5,2.5,0,3.3
28,0,2.6,1,3.5
28,1,3.1,1,3.5
28,2,2.9,1,3.5
28,3,3.1,1,3.5
28,4,3.1,1,3.5
28,5,3.2,1,3.5
29,0,2.9,1,3.3
29,1,2.7,1,3.3
29,2,2.9,1,3.3
29,3,2.9,1,3.3
29,4,3.3,1,3.3
29,5,3.2,1,3.3
30,0,2.9,1,2.4
30,1,3,1,2.4
30,2,3.2,1,2.4
30,3,3.1,1,2.4
30,4,3.2,1,2.4
30,5,3.3,1,2.4
31,0,2.6,1,2
31,1,2.2,1,2
31,2,2.1,1,2
31,3,2.4,1,2
31,4,2.6,1,2
31,5,2.8,1,2
32,0,2.8,1,3.5
32,1,2.9,1,3.5
32,2,3,1,3.5
32,3,3.3,1,3.5
32,4,3.4,1,3.5
32,5,3.6,1,3.5
33,0,2.3,1,3.2
33,1,3,1,3.2
33,2,2.4,1,3.2
33,3,2.8,1,3.2
33,4,2.8,1,3.2
33,5,3,1,3.2
34,0,2.4,0,3.9
34,1,2.8,0,3.9
34,2,2.6,0,3.9
34,3,2.7,0,3.9
34,4,2.6,0,3.9
34,5,2.6,0,3.9
35,0,2.5,0,3.5
35,1,2.5,0,3.5
35,2,2.6,0,3.5
35,3,3.2,0,3.5
35,4,3.4,0,3.5
35,5,3.6,0,3.5
36,0,2.5,0,2.9
36,1,2.9,0,2.9
36,2,3,0,2.9
36,3,3.2,0,2.9
36,4,3,0,2.9
36,5,3.5,0,2.9
37,0,2.2,0,3
37,1,2.5,0,3
37,2,3.3,0,3
37,3,3.1,0,3
37,4,3.3,0,3
37,5,3.4,0,3
38,0,2.9,1,2.9
38,1,3.2,1,2.9
38,2,3.2,1,2.9
38,3,3.4,1,2.9
38,4,3.6,1,2.9
38,5,3.8,1,2.9
39,0,2.4,0,3.5
39,1,2.3,0,3.5
39,2,3,0,3.5
39,3,3.1,0,3.5
39,4,3.1,0,3.5
39,5,2.9,0,3.5
40,0,2.5,1,3.1
40,1,2.9,1,3.1
40,2,3.2,1,3.1
40,3,3.6,1,3.1
40,4,3.3,1,3.1
40,5,3.6,1,3.1
41,0,2.9,1,3.3
41,1,3.5,1,3.3
41,2,3.2,1,3.3
41,3,3.5,1,3.3
41,4,3.8,1,3.3
41,5,3.9,1,3.3
42,0,2.5,0,3.9
42,1,2.5,0,3.9
42,2,3.4,0,3.9
42,3,2.6,0,3.9
42,4,2.8,0,3.9
42,5,3,0,3.9
43,0,2,1,2.3
43,1,2.5,1,2.3
43,2,3.1,1,2.3
43,3,3.3,1,2.3
43,4,3.2,1,2.3
43,5,3.6,1,2.3
44,0,3.1,1,3.5
44,1,3,1,3.5
44,2,3.1,1,3.5
44,3,2.9,1,3.5
44,4,3.1,1,3.5
44,5,3.2,1,3.5
45,0,2.7,1,2.4
45,1,3.1,1,2.4
45,2,3,1,2.4
45,3,3.3,1,2.4
45,4,3.1,1,2.4
45,5,3.2,1,2.4
46,0,2.9,0,2.1
46,1,2.2,0,2.1
46,2,2.7,0,2.1
46,3,2.4,0,2.1
46,4,2.6,0,2.1
46,5,2.4,0,2.1
47,0,2.6,1,2.8
47,1,2.5,1,2.8
47,2,2.8,1,2.8
47,3,2.2,1,2.8
47,4,2.8,1,2.8
47,5,2.7,1,2.8
48,0,2.9,1,2.6
48,1,2.5,1,2.6
48,2,2.7,1,2.6
48,3,2.9,1,2.6
48,4,3,1,2.6
48,5,3.2,1,2.6
49,0,3.1,0,2.8
49,1,2.7,0,2.8
49,2,3,0,2.8
49,3,2.7,0,2.8
49,4,3,0,2.8
49,5,3.4,0,2.8
50,0,2.4,0,3.8
50,1,2.7,0,3.8
50,2,2.4,0,3.8
50,3,3.2,0,3.8
50,4,3,0,3.8
50,5,3,0,3.8
51,0,1.7,0,2.1
51,1,2.5,0,2.1
51,2,3.3,0,2.1
51,3,3.2,0,2.1
51,4,3,0,2.1
51,5,3.3,0,2.1
52,0,2.5,1,3.5
52,1,2.9,1,3.5
52,2,3,1,3.5
52,3,3.3,1,3.5
52,4,3.3,1,3.5
52,5,3.3,1,3.5
53,0,2.8,0,2.3
53,1,3.4,0,2.3
53,2,2.7,0,2.3
53,3,3,0,2.3
53,4,2.8,0,2.3
53,5,3,0,2.3
54,0,2.8,1,2.2
54,1,2.5,1,2.2
54,2,3.3,1,2.2
54,3,3.3,1,2.2
54,4,3.2,1,2.2
54,5,3.4,1,2.2
55,0,2.4,0,3.3
55,1,2.8,0,3.3
55,2,3.2,0,3.3
55,3,3.2,0,3.3
55,4,3.1,0,3.3
55,5,3.5,0,3.3
56,0,2.2,0,2.1
56,1,2,0,2.1
56,2,2.6,0,2.1
56,3,2.6,0,2.1
56,4,2.9,0,2.1
56,5,3.1,0,2.1
57,0,2.5,0,3.5
57,1,2.9,0,3.5
57,2,2.8,0,3.5
57,3,2.8,0,3.5
57,4,3.4,0,3.5
57,5,3.3,0,3.5
58,0,2.5,1,2.5
58,1,2.2,1,2.5
58,2,2.4,1,2.5
58,3,2.8,1,2.5
58,4,2.9,1,2.5
58,5,3.1,1,2.5
59,0,2.8,0,2.5
59,1,2.8,0,2.5
59,2,2.6,0,2.5
59,3,3.1,0,2.5
59,4,3,0,2.5
59,5,3.3,0,2.5
60,0,2,0,2.3
60,1,2.7,0,2.3
60,2,2.6,0,2.3
60,3,2.8,0,2.3
60,4,3.1,0,2.3
60,5,2.9,0,2.3
61,0,2.4,0,2.5
61,1,3.1,0,2.5
61,2,3.2,0,2.5
61,3,3.3,0,2.5
61,4,3.5,0,2.5
61,5,3.5,0,2.5
62,0,2.4,0,3
62,1,2.2,0,3
62,2,2.5,0,3
62,3,3,0,3
62,4,2.9,0,3
62,5,3.4,0,3
63,0,2.6,1,3.8
63,1,3.1,1,3.8
63,2,3.1,1,3.8
63,3,3.5,1,3.8
63,4,3.4,1,3.8
63,5,3.4,1,3.8
64,0,2.4,1,2.2
64,1,2.9,1,2.2
64,2,2.7,1,2.2
64,3,3.3,1,2.2
64,4,3.2,1,2.2
64,5,3.4,1,2.2
65,0,1.9,0,3.6
65,1,2.9,0,3.6
65,2,2.4,0,3.6
65,3,2.8,0,3.6
65,4,2.8,0,3.6
65,5,2.7,0,3.6
66,0,2.3,1,3.8
66,1,2.7,1,3.8
66,2,3.2,1,3.8
66,3,3.3,1,3.8
66,4,3.4,1,3.8
66,5,3.7,1,3.8
67,0,2.6,1,3.3
67,1,3,1,3.3
67,2,2.5,1,3.3
67,3,2.4,1,3.3
67,4,2.6,1,3.3
67,5,2.6,1,3.3
68,0,2.3,0,2.9
68,1,2.1,0,2.9
68,2,2.3,0,2.9
68,3,2.8,0,2.9
68,4,2.7,0,2.9
68,5,3.1,0,2.9
69,0,2.3,0,2.5
69,1,2.3,0,2.5
69,2,2.5,0,2.5
69,3,2.7,0,2.5
69,4,2.7,0,2.5
69,5,2.8,0,2.5
70,0,2.7,0,3.7
70,1,2.4,0,3.7
70,2,3,0,3.7
70,3,3.2,0,3.7
70,4,2.9,0,3.7
70,5,3.1,0,3.7
71,0,2.9,1,3.4
71,1,2.8,1,3.4
71,2,3,1,3.4
71,3,2.8,1,3.4
71,4,2.9,1,3.4
71,5,2.8,1,3.4
72,0,3,1,2.9
72,1,3.1,1,2.9
72,2,3.5,1,2.9
72,3,3.2,1,2.9
72,4,3.7,1,2.9
72,5,3.7,1,2.9
73,0,2.6,0,4
73,1,2.5,0,4
73,2,2.6,0,4
73,3,2.8,0,4
73,4,2.6,0,4
73,5,2.6,0,4
74,0,3.5,0,3.4
74,1,2.9,0,3.4
74,2,2.8,0,3.4
74,3,3.1,0,3.4
74,4,3.1,0,3.4
74,5,3.3,0,3.4
75,0,2.5,1,2
75,1,2.5,1,2
75,2,3.2,1,2
75,3,3,1,2
75,4,3.2,1,2
75,5,3,1,2
76,0,2.4,0,2.9
76,1,2.9,0,2.9
76,2,2.8,0,2.9
76,3,3.4,0,2.9
76,4,3.3,0,2.9
76,5,3.5,0,2.9
77,0,2.4,1,2.8
77,1,3.1,1,2.8
77,2,3.2,1,2.8
77,3,3.8,1,2.8
77,4,4,1,2.8
77,5,4,1,2.8
78,0,2.4,0,2.9
78,1,2.5,0,2.9
78,2,2.1,0,2.9
78,3,2.5,0,2.9
78,4,2.3,0,2.9
78,5,2.8,0,2.9
79,0,2.3,1,2.6
79,1,1.8,1,2.6
79,2,2.2,1,2.6
79,3,2.3,1,2.6
79,4,2.5,1,2.6
79,5,2.8,1,2.6
80,0,3.1,1,3.7
80,1,2.8,1,3.7
80,2,3,1,3.7
80,3,3.1,1,3.7
80,4,3.4,1,3.7
80,5,3.2,1,3.7
81,0,2.3,1,2.2
81,1,2.4,1,2.2
81,2,2.8,1,2.2
81,3,3.1,1,2.2
81,4,3.3,1,2.2
81,5,3.6,1,2.2
82,0,3.3,1,3.6
82,1,3.2,1,3.6
82,2,2.7,1,3.6
82,3,3.2,1,3.6
82,4,3.3,1,3.6
82,5,3.6,1,3.6
83,0,2.5,1,2.3
83,1,3.1,1,2.3
83,2,3.2,1,2.3
83,3,3.3,1,2.3
83,4,3.4,1,2.3
83,5,3.4,1,2.3
84,0,2.3,0,3.7
84,1,2.1,0,3.7
84,2,2.4,0,3.7
84,3,2.1,0,3.7
84,4,2.2,0,3.7
84,5,2.4,0,3.7
85,0,2.4,1,2.8
85,1,2.8,1,2.8
85,2,3.1,1,2.8
85,3,3.3,1,2.8
85,4,3.1,1,2.8
85,5,3.3,1,2.8
86,0,2.7,0,2.5
86,1,2.5,0,2.5
86,2,3,0,2.5
86,3,2.5,0,2.5
86,4,2.6,0,2.5
86,5,2.6,0,2.5
87,0,2.3,1,2.1
87,1,2.7,1,2.1
87,2,2.7,1,2.1
87,3,3.2,1,2.1
87,4,3.1,1,2.1
87,5,3.2,1,2.1
88,0,2.7,0,2.2
88,1,2.8,0,2.2
88,2,2.5,0,2.2
88,3,2.7,0,2.2
88,4,3.1,0,2.2
88,5,3,0,2.2
89,0,2.6,0,3.7
89,1,2.8,0,3.7
89,2,3.2,0,3.7
89,3,3,0,3.7
89,4,3.1,0,3.7
89,5,3.5,0,3.7
90,0,2.4,1,2.6
90,1,2.5,1,2.6
90,2,2.7,1,2.6
90,3,3,1,2.6
90,4,3,1,2.6
90,5,3.2,1,2.6
91,0,2,0,3.6
91,1,2.5,0,3.6
91,2,2.3,0,3.6
91,3,2.5,0,3.6
91,4,2.8,0,3.6
91,5,2.9,0,3.6
92,0,2.7,1,2.7
92,1,3.2,1,2.7
92,2,3.8,1,2.7
92,3,4,1,2.7
92,4,4,1,2.7
92,5,4,1,2.7
93,0,2.9,0,3.5
93,1,3.5,0,3.5
93,2,3.2,0,3.5
93,3,3.3,0,3.5
93,4,3.4,0,3.5
93,5,3.4,0,3.5
94,0,2.7,1,3.7
94,1,2.9,1,3.7
94,2,3,1,3.7
94,3,2.7,1,3.7
94,4,2.7,1,3.7
94,5,2.8,1,3.7
95,0,2.5,1,3.4
95,1,2.5,1,3.4
95,2,2.9,1,3.4
95,3,2.8,1,3.4
95,4,2.7,1,3.4
95,5,2.9,1,3.4
96,0,2.4,1,2.3
96,1,2.5,1,2.3
96,2,2.8,1,2.3
96,3,3.3,1,2.3
96,4,3.4,1,2.3
96,5,3.8,1,2.3
97,0,2.3,0,2.6
97,1,2.5,0,2.6
97,2,3,0,2.6
97,3,3.2,0,2.6
97,4,2.9,0,2.6
97,5,2.9,0,2.6
98,0,3.3,1,3.4
98,1,2.4,1,3.4
98,2,3.2,1,3.4
98,3,3.2,1,3.4
98,4,3.1,1,3.4
98,5,3.3,1,3.4
99,0,2.2,1,2.9
99,1,2.7,1,2.9
99,2,2.7,1,2.9
99,3,2.8,1,2.9
99,4,2.8,1,2.9
99,5,2.8,1,2.9
100,0,2.7,0,2.8
100,1,2,0,2.8
100,2,2,0,2.8
100,3,2.3,0,2.8
100,4,2.4,0,2.8
100,5,2.7,0,2.8
101,0,2.8,1,3.4
101,1,2.7,1,3.4
101,2,3.1,1,3.4
101,3,3.6,1,3.4
101,4,3.6,1,3.4
101,5,3.7,1,3.4
102,0,3.1,0,3.5
102,1,2.9,0,3.5
102,2,2.7,0,3.5
102,3,2.6,0,3.5
102,4,2.9,0,3.5
102,5,2.7,0,3.5
103,0,2.2,1,2.3
103,1,2.4,1,2.3
103,2,2.8,1,2.3
103,3,2.8,1,2.3
103,4,3.1,1,2.3
103,5,2.9,1,2.3
